history_date,production_isk,destruction_isk,mining_isk
2019-01-01,5087851373731.046,1286211647406.05,1523212353304.4043
2019-01-02,5371258571080.573,1193095455106.14,1477509850400.8958
2019-01-03,5016884059282.34,1138683309504.35,1668781114222.7617
2019-01-04,5262121060647.369,1326690437943.73,1534036906635.433
2019-01-05,6386980122151.332,1880315842897.24,1482699455656.9055
2019-01-06,4935691424748.94,1485338460810.96,1513561038678.5862
2019-01-07,5411209626933.428,1249859623236.58,1441142582659.5881
2019-01-08,5014457973672.039,1034727091939.02,1534714808865.4478
2019-01-09,4790403972264.122,998775923719.2,1493640387304.515
2019-01-10,5527710769152.168,1180250493055.9,1511169162899.1975
2019-01-11,5472077687642.01,1011792696747.99,1544709559393.4714
2019-01-12,5024847751042.222,1985844939572.98,1649843608128.8625
2019-01-13,5204754845920.607,1871783935528.97,1303293115467.9668
2019-01-14,5467050844272.75,1078138817300.9,1457077135031.322
2019-01-15,4963709291529.824,1000039324733.22,1362545104060.2605
2019-01-16,4994665905690.867,1772506361575.98,1439142036751.889
2019-01-17,5172671513156.081,1105042374662.93,1484858570260.8577
2019-01-18,5231751405750.94,1172108430046.72,1560103369227.1108
2019-01-19,4934605782839.825,1627619483818.12,1828269352273.8147
2019-01-20,5339787256733.19,1713175335605.8,1711850986376.9888
2019-01-21,5195228062225.369,1197968806799.13,1726899749094.577
2019-01-22,4713244198565.981,982486967543.5,1546748618861.4473
2019-01-23,4773647703653.231,1114796158888.06,1439722373003.6272
2019-01-24,5531335316392.021,1096896665900.26,1565659535224.2693
2019-01-25,5047932969613.1,979118698930.57,1601771473928.1487
2019-01-26,5224309855443.012,1934939165424.06,1705928450638.1511
2019-01-27,6139683361237.841,1419752305897.61,1620887774877.4126
2019-01-28,5010053164721.184,1004576133117.55,1488665589846.4666
2019-01-29,5621850766295.664,1369660226342.56,1453632253236.0818
2019-01-30,5110150418090.528,982781081256.01,1525428662784.4219
2019-01-31,5081729237525.78,1069113316763.51,1570463400995.3591
